Id,Movie,Year,Rating(%)
1,The Flash,2023,64
2,No Hard Feelings,2023,68
3,Asteroid City,2023,74
4,Indiana Jones and the Dial of Destiny,2023,68
5,Elemental,2023,76
6,Spider-Man: Across the Spider-Verse,2023,96
7,Extraction 2,2023,79
8,Transformers: Rise of the Beasts,2023,54
9,Take Care of Maya,2023,92
10,The Blackening,2022,86
11,The Little Mermaid,2023,67
12,BlackBerry,2023,98
13,Past Lives,2023,97
14,Clean,2022,100
15,The Machine,2023,27
16,Oppenheimer,2023,
17,You Hurt My Feelings,2023,95
18,Extraction,2020,67
19,Guy Ritchie's The Covenant,2023,84
20,Fast X,2023,56
21,Evil Dead Rise,2023,83
22,The Super Mario Bros. Movie,2023,58
23,"Are You There God? It's Me, Margaret.",2023,99
24,My Fault,2023,
25,Guardians of the Galaxy Vol. 3,2023,82
26,Leave No Trace,2022,80
27,The Boogeyman,2023,63
28,Spider-Man: Into the Spider-Verse,2018,97
29,"Mission: Impossible - Dead Reckoning, Part One",2023,
30,South Beach Shark Club,2022,100
